I
1130 Generated by WorldEditor 2.0.0r4

1   1607 1 0 EDMD Dachau-Gröbenried
1302 city Dachau
111  48.22817208  011.42697294
113  48.22818929  011.42697740
110 2 0.25 0.0000 lib/airport/pavement/concrete_6L.pol
111  48.22900449  011.41864430
111  48.22901069  011.41864574
111  48.22901286  011.41862925
111  48.22902374  011.41863259
111  48.22902552  011.41862237
113  48.22900834  011.41861773
110 5 0.00 0.0000 New Taxiway 5
111  48.22751086  011.42813842
112  48.22774382  011.42816705  48.22785144  011.42820999
111  48.22799039  011.42825703
112  48.22800538  011.42832860  48.22799857  011.42834292
111  48.22794135  011.42839404
111  48.22807894  011.42842062
112  48.22805987  011.42832656  48.22807213  011.42826930
111  48.22810891  011.42822635
112  48.22819065  011.42814251  48.22822879  011.42809548
112  48.22854752  011.42751797  48.22863654  011.42731507
112  48.22880137  011.42665440  48.22883434  011.42648120
111  48.22896621  011.42580073
111  48.22874671  011.42575336
111  48.22871879  011.42597964
111  48.22880533  011.42602713
112  48.22887060  011.42608281  48.22887060  011.42610756
112  48.22874590  011.42670970  48.22869810  011.42690518
112  48.22853928  011.42745859  48.22848159  011.42760211
111  48.22826895  011.42793120
111  48.22826895  011.42770603
111  48.22811565  011.42765654
111  48.22809587  011.42781738
112  48.22824093  011.42787429  48.22824422  011.42791141
112  48.22822279  011.42801038  48.22821455  011.42803018
112  48.22803818  011.42819348  48.22794916  011.42820338
111  48.22777444  011.42811925
111  48.22779586  011.42798564
111  48.22775465  011.42797079
111  48.22772828  011.42808956
112  48.22762279  011.42806729  48.22756180  011.42805987
113  48.22747278  011.42807471
110 2 0.00 0.0000 New Taxiway 3
111  48.22880533  011.42602713
111  48.22871879  011.42597964
111  48.22874671  011.42575336
111  48.22860621  011.42570308
111  48.22859411  011.42577013
111  48.22858480  011.42577432
111  48.22856154  011.42592097
111  48.22857271  011.42592377
111  48.22852805  011.42627994
111  48.22854573  011.42628553
111  48.22852524  011.42645794
111  48.22869180  011.42650403
111  48.22869729  011.42645698
113  48.22874576  011.42646911
110 2 0.00 0.0000 New Taxiway 4
111  48.22850606  011.42668283
111  48.22849347  011.42677412
111  48.22855639  011.42678567
113  48.22857037  011.42670486
110 3 0.00 0.0000 New Taxiway 2
112  48.22891866  011.42574203  48.22890330  011.42569592
112  48.22861369  011.42545220  48.22860053  011.42532047
111  48.22941902  011.41914843
112  48.22948952  011.41879171  48.22951804  011.41873901
112  48.22981862  011.41886746  48.22984934  011.41882464
111  48.22926354  011.41696054
112  48.22914287  011.41682551  48.22911216  011.41682551
111  48.22906389  011.41699018
111  48.22764861  011.42709601
111  48.22734365  011.42696757
111  48.22720762  011.42761637
112  48.22793383  011.42815319  48.22807864  011.42818613
112  48.22836385  011.42766577  48.22844064  011.42757026
113  48.22876304  011.42672559
130 Airport Boundary 1
111  48.22996843  011.41886414
111  48.22912824  011.41640059
111  48.22763269  011.42706549
111  48.22730347  011.42693842
111  48.22718120  011.42761613
111  48.22750933  011.42812882
111  48.22787143  011.42837868
111  48.22807877  011.42840498
113  48.22874509  011.42741599
14  48.22852445  011.42611933  29.53 0 New Tower Viewpoint 1
1300  48.22865267  011.42646192 188.56 misc props|helos Apron start 2
1301 B none 
1300  48.22818939  011.42779475 188.56 misc props|helos Apron start 1
1301 B none 
1300  48.22850066  011.42591026 106.53 misc props|helos Gras start 3
1301 B none 
1300  48.22855326  011.42557978 189.02 misc props|helos Gras start 4
1301 B none 
1054 118425 Dachau Info
99
