I
1000 Generated by WorldEditor 2.2.0r2

1   1501 1 0 EDFU Mainbullau
1302 city Miltenberg
112  49.69316954  009.18072969  49.69315756  009.18070609
111  49.69315128  009.18069452
111  49.69315247  009.18067785
111  49.69312792  009.18062463
111  49.69316200  009.18059454
111  49.69316618  009.18060357
111  49.69323337  009.18053160
111  49.69319388  009.18045034
111  49.69318667  009.18045812
111  49.69322138  009.18052914
111  49.69316475  009.18058953
111  49.69310454  009.18047118
111  49.69303910  009.18054408
112  49.69315214  009.18077172  49.69317520  009.18081754
112  49.69321633  009.18082996  49.69322938  009.18083331
111  49.69324280  009.18085726
111  49.69324315  009.18088245
111  49.69329012  009.18098124
111  49.69335997  009.18089954
111  49.69333099  009.18084168
112  49.69337415  009.18080003  49.69340060  009.18077496
113  49.69343526  009.18083385
110 1 0.25 60.0000 asphalt_3L.pol
111  49.69310998  009.18068474
112  49.69310564  009.18074173  49.69309394  009.18076807
112  49.69309885  009.18083057  49.69311907  009.18086873
112  49.69313480  009.18088592  49.69314722  009.18089931
112  49.69316424  009.18093394  49.69317235  009.18095387
112  49.69319273  009.18100433  49.69320624  009.18103390
112  49.69322641  009.18108083  49.69324034  009.18111201
112  49.69326384  009.18116183  49.69327403  009.18118915
112  49.69328858  009.18122450  49.69329336  009.18123479
112  49.69328692  009.18125311  49.69328335  009.18126071
112  49.69328463  009.18129264  49.69329627  009.18131675
112  49.69332195  009.18129800  49.69333200  009.18127861
112  49.69332316  009.18123913  49.69331901  009.18122434
112  49.69329752  009.18121100  49.69328692  009.18118625
112  49.69325971  009.18112411  49.69324838  009.18110017
112  49.69321227  009.18101976  49.69320125  009.18099308
112  49.69316507  009.18090951  49.69315468  009.18088572
112  49.69312640  009.18083044  49.69311684  009.18081051
112  49.69311746  009.18077194  49.69312474  009.18075105
113  49.69313563  009.18073653
110 1 0.25 60.0000 asphalt_2D.pol
111  49.69258350  009.17954905
111  49.69261056  009.17951842
111  49.69263817  009.17957669
111  49.69275614  009.17944314
112  49.69271684  009.17936019  49.69271122  009.17934825
111  49.69272380  009.17933078
111  49.69269812  009.17927557
112  49.69267768  009.17927754  49.69266725  009.17928916
111  49.69255953  009.17941131
111  49.69258715  009.17946961
113  49.69256028  009.17950003
110 1 0.25 60.0000 asphalt_2D.pol
111  49.69248075  009.17934364
111  49.69250781  009.17931301
111  49.69253542  009.17937128
111  49.69265338  009.17923773
111  49.69257493  009.17907213
111  49.69245677  009.17920590
111  49.69248439  009.17926420
113  49.69245752  009.17929462
110 1 0.25 60.0000 asphalt_2D.pol
111  49.69237661  009.17913528
111  49.69240367  009.17910464
111  49.69243128  009.17916292
111  49.69254925  009.17902936
111  49.69247079  009.17886376
111  49.69235263  009.17899753
111  49.69238026  009.17905584
113  49.69235339  009.17908626
110 1 0.25 60.0000 asphalt_2L.pol
111  49.69312699  009.17994948
111  49.69312102  009.17994787
111  49.69310680  009.18003255
111  49.69302921  009.18012279
111  49.69304355  009.18015204
111  49.69312109  009.18006177
111  49.69314418  009.17993140
111  49.69313830  009.17992898
111  49.69311749  009.18004508
113  49.69311253  009.18003444
110 1 0.00 0.0000 New Taxiway 8
111  49.69672904  009.18583425
112  49.69671150  009.18601682  49.69668063  009.18607168
111  49.69661737  009.18607646
111  49.69662200  009.18617666
112  49.69676283  009.18620621  49.69683205  009.18621893
113  49.69692930  009.18622530
110 1 0.00 0.0000 New Taxiway 22
111  49.69694678  009.18627598
111  49.69702118  009.18620075
111  49.69712475  009.18619996 1
112  49.69734598  009.18620738  49.69739163  009.18620850 1
112  49.69746552  009.18618411  49.69749774  009.18617045
111  49.69766004  009.18609673
111  49.69756576  009.18586926
112  49.69742677  009.18602328  49.69741685  009.18603332
112  49.69739843  009.18601636  49.69739103  009.18599851
111  49.69733394  009.18585726
111  49.69729299  009.18589800
111  49.69730136  009.18591707
111  49.69727758  009.18594241 1
112  49.69730171  009.18599553  49.69730763  009.18600806 1
112  49.69727523  009.18607108  49.69724187  009.18609133 1
111  49.69714653  009.18609311 1
112  49.69694240  009.18601603  49.69692998  009.18601115 1
111  49.69691945  009.18600054
113  49.69689996  009.18618316
110 2 0.00 52.3000 New Taxiway 6
111  49.69306673  009.17946337
111  49.69309685  009.17942747
111  49.69311306  009.17939246
111  49.69312253  009.17935743
111  49.69312250  009.17930797
111  49.69311387  009.17927466
111  49.69310418  009.17925526
111  49.69308320  009.17922995
111  49.69305786  009.17921878
111  49.69302980  009.17922191
111  49.69300383  009.17924051
113  49.69297621  009.17927217
110 1 0.00 0.0000 New Taxiway 3
111  49.69310258  009.17859889
111  49.69307318  009.17863414
111  49.69307729  009.17864619 1
112  49.69311471  009.17875685  49.69312662  009.17879272 1
112  49.69309003  009.17889595  49.69306492  009.17892611 1
111  49.69305601  009.17893675
111  49.69287980  009.17914786
111  49.69280994  009.17913244
111  49.69268837  009.17925866
111  49.69305042  009.18003006
112  49.69317538  009.17987956  49.69319998  009.17984931
112  49.69324269  009.17991780  49.69325379  009.17994018
112  49.69370224  009.18084386  49.69372689  009.18089370
112  49.69373460  009.18103550  49.69372664  009.18111374
111  49.69365068  009.18118280
111  49.69346117  009.18080247
111  49.69335252  009.18092136
111  49.69361059  009.18144724
111  49.69371834  009.18131286
111  49.69369347  009.18126234
112  49.69379759  009.18104550  49.69380857  009.18093133
112  49.69375021  009.18078600  49.69372474  009.18073574
112  49.69328665  009.17986145  49.69328036  009.17984894
112  49.69326859  009.17967279  49.69329354  009.17958639
112  49.69336119  009.17958244  49.69338895  009.17957791
111  49.69336119  009.17958244
112  49.69336119  009.17958244  49.69337294  009.17958052
112  49.69342134  009.17957932  49.69344783  009.17958118
111  49.69342134  009.17957932
112  49.69342134  009.17957932  49.69345741  009.17958185 1
112  49.69354104  009.17960061  49.69358009  009.17961027
111  49.69354104  009.17960061
112  49.69354104  009.17960061  49.69360877  009.17961736 1
111  49.69363066  009.17965568
111  49.69346986  009.17933273 1
112  49.69345594  009.17944852  49.69343067  009.17951587 1
112  49.69331160  009.17947113  49.69329167  009.17946473 1
112  49.69327275  009.17944284  49.69326730  009.17943207 1
112  49.69309768  009.17909428  49.69308888  009.17907661 1
112  49.69312557  009.17897528  49.69317482  009.17892089 1
111  49.69322789  009.17897246 1
111  49.69329938  009.17910722 1
113  49.69338930  009.17917232
112  49.69297511  009.17914758  49.69298403  009.17913613
112  49.69301739  009.17915647  49.69302617  009.17917319
111  49.69301739  009.17915647
112  49.69301739  009.17915647  49.69301937  009.17916023
112  49.69303482  009.17918972  49.69304494  009.17920925
111  49.69304184  009.17923414
111  49.69311087  009.17938020
112  49.69315572  009.17942340  49.69317406  009.17945859
112  49.69315131  009.17951584  49.69313544  009.17953551
112  49.69309300  009.17950095  49.69307541  009.17946460
113  49.69294313  009.17918833
110 3 0.00 52.3000 New Taxiway 4
111  49.69360297  009.17957243
111  49.69322236  009.17955055
111  49.69304375  009.17973048
111  49.69341870  009.18047859
111  49.69335615  009.18054756
111  49.69345037  009.18074739
111  49.69346117  009.18080247
111  49.69366720  009.18121357
111  49.69349648  009.18140696
111  49.69360755  009.18164204
111  49.69378873  009.18142380
111  49.69374405  009.18132663
112  49.69379599  009.18115622  49.69382689  009.18105375
111  49.69379599  009.18115622
112  49.69379599  009.18115622  49.69383868  009.18107806
112  49.69380532  009.18080722  49.69376499  009.18072020
111  49.69372091  009.18062426
113  49.69397132  009.18031161
130 Airport Boundary 2
111  49.69475690  009.17994222
111  49.69349465  009.17826083
111  49.69222877  009.17893037
111  49.69278431  009.18007163
111  49.69247149  009.18047485
111  49.69285409  009.18104258
111  49.69232456  009.18198222
111  49.69273103  009.18263584
111  49.69428250  009.18173846
111  49.69669291  009.18639675
111  49.69762120  009.18629163
111  49.69794157  009.18596593
111  49.69773312  009.18541681
113  49.69742211  009.18585029
120 Linear Feature 4
111  49.69292644  009.17913893 1
115  49.69293387  009.17915346
120 Linear Feature 3
111  49.69306087  009.17913953 1
115  49.69305129  009.17915101
120 Linear Feature 3
111  49.69317852  009.17937988 1
115  49.69316894  009.17939137
120 Linear Feature 9
111  49.69673140  009.18594183 1
115  49.69686841  009.18621719
120 Linear Feature 7
111  49.69330931  009.17947304 5
115  49.69336038  009.17958103
120 Linear Feature 6
111  49.69305598  009.17893786 5
115  49.69309524  009.17901716
120 Linear Feature 5
111  49.69304542  009.17900745 1
112  49.69303465  009.17905417  49.69303334  009.17907643 1
112  49.69304249  009.17911698  49.69304914  009.17913127 1
115  49.69305610  009.17914527
120 Linear Feature 4
111  49.69293016  009.17914623 1
112  49.69314509  009.17888737  49.69316541  009.17886314 1
112  49.69323756  009.17884524  49.69327409  009.17884447 1
116  49.69330716  009.17890088  49.69332663  009.17893995
120 Linear Feature 3
111  49.69317374  009.17938566 1
112  49.69322921  009.17949875  49.69323446  009.17950956 1
112  49.69326093  009.17952549  49.69327662  009.17952559 1
112  49.69347450  009.17952240  49.69350088  009.17952210 1
112  49.69358688  009.17954219  49.69362237  009.17955669 1
116  49.69366721  009.17962798  49.69369158  009.17967584
120 Linear Feature 2
111  49.69761311  009.18596768 1
112  49.69747451  009.18609597  49.69743927  009.18612779 1
112  49.69737908  009.18613724  49.69733811  009.18613993 1
112  49.69722747  009.18614554  49.69720851  009.18614635 1
112  49.69712650  009.18613165  49.69709952  009.18612342 1
112  49.69694676  009.18607525  49.69689640  009.18605913 1
116  49.69686495  009.18599867  49.69684884  009.18596693
120 Linear Feature 2
111  49.69326426  009.17942607 20
111  49.69325119  009.17946889 20
115  49.69378527  009.18054263
120 Linear Feature 3
111  49.69689996  009.18618316 20
111  49.69692084  009.18622446 20
111  49.69698981  009.18614110 20
115  49.69696927  009.18610047
120 Linear Feature 6
111  49.69700421  009.18614373 1
115  49.69699651  009.18615435
120 Linear Feature 6
111  49.69702183  009.18614710 1
115  49.69700475  009.18617064
120 Linear Feature 6
111  49.69703945  009.18615046 1
115  49.69701299  009.18618694
120 Linear Feature 6
111  49.69705669  009.18615361 1
115  49.69702765  009.18619363
120 Linear Feature 5
111  49.69705235  009.18615949 1
115  49.69707676  009.18619378
120 Linear Feature 5
111  49.69706830  009.18615579 1
115  49.69709140  009.18619524
120 Linear Feature 5
111  49.69708824  009.18615960 1
115  49.69711135  009.18619905
120 Linear Feature 4
111  49.69701986  009.18620049 1
111  49.69699107  009.18614358 1
111  49.69699259  009.18614162 1
111  49.69709736  009.18616129 1
111  49.69712475  009.18619996 1
115  49.69717616  009.18620177
120 Linear Feature 8
111  49.69714231  009.18619859 5
115  49.69714851  009.18609456
120 Linear Feature 7
111  49.69729210  009.18620329 5
115  49.69729216  009.18606018
21  49.69644222  009.18564613 2 232.3000 3.00 PAPI 23
14  49.69325847  009.18035642  32.81 0 New Tower Viewpoint 2
1300  49.69287147  009.17920533 323.07 tie_down props Ramp start 1
1300  49.69308942  009.17966664 323.07 tie_down turboprops|props|helos Ramp start 2
1300  49.69351275  009.18062271 323.07 tie_down turboprops|props|helos Ramp start 3
1300  49.69363537  009.18087744 323.07 tie_down turboprops|props|helos Ramp start 4
1300  49.69373651  009.18111300 292.90 tie_down turboprops|props|helos Ramp start 5
1300  49.69370688  009.18051487 141.90 tie_down turboprops|props|helos Ramp start 6
1300  49.69359673  009.18029902 141.90 tie_down turboprops|props|helos Ramp start 7
1300  49.69349123  009.18008916 141.90 tie_down turboprops|props|helos Ramp start 8
1300  49.69338316  009.17986993 141.90 tie_down turboprops|props|helos Ramp start 9
19  49.69311219  009.17948380 0 Windsock
19  49.69287159  009.18132948 0 Windsock Skydiving
54 12237 Mainbullau Info
1200 
1201  49.69301178  009.17905028 both 0 _stop
1201  49.69292849  009.17915075 both 1 _stop
1201  49.69320430  009.17976738 both 2 _stop
1201  49.69376078  009.18089109 both 3 _start
1201  49.69370220  009.18077419 both 4 _start
1201  49.69362770  009.18062638 both 5 _start
1201  49.69358456  009.18053947 both 6 _start
1201  49.69351565  009.18039935 both 7 _start
1201  49.69341772  009.18020219 both 8 _start
1201  49.69332024  009.18000352 both 9 _start
1201  49.69324154  009.17952541 both 10 _stop
1201  49.69306375  009.17898919 both 11 _stop
1201  49.69323980  009.17876205 both 12 _stop
1201  49.69331508  009.17952541 both 13 _stop
1201  49.69362007  009.17952176 both 14 _stop
1201  49.69677630  009.18582772 both 15 _stop
1201  49.69677147  009.18603323 both 16 _stop
1201  49.69683010  009.18615009 both 17 _stop
1201  49.69694574  009.18616676 both 18 _stop
1201  49.69692945  009.18613430 both 19 _stop
1201  49.69315352  009.17859026 both 20 _start
1202 1 0 twoway taxiway 
1202 2 10 twoway taxiway 
1202 3 4 twoway taxiway 
1202 4 5 twoway taxiway 
1202 5 6 twoway taxiway 
1202 6 7 twoway taxiway 
1202 7 8 twoway taxiway 
1202 8 9 twoway taxiway 
1202 9 2 twoway taxiway 
1202 10 13 twoway taxiway 
1202 0 10 twoway taxiway 
1202 11 0 twoway taxiway 
1202 12 11 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 14 13 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 16 15 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 17 16 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 18 17 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 19 18 twoway taxiway 
1204 departure 05,23
1204 arrival 05,23
1202 20 12 twoway runway 05/23
1204 departure 05,23
1204 arrival 05,23
1204 ils 05,23
1202 12 14 twoway runway 05/23
1204 departure 05,23
1204 arrival 05,23
1204 ils 05,23
1202 14 15 twoway runway 05/23
1204 departure 05,23
1204 arrival 05,23
1204 ils 05,23
1202 15 19 twoway runway 05/23
1204 departure 05,23
1204 arrival 05,23
1204 ils 05,23
99
