I
1050 Generated by WorldEditor

1   1203 1 0 ETSI Ingolstadt-Manching
1302 city Manching
111  48.723426279  11.551262597 
112  48.723474366  11.551281180  48.723484578  11.551316246 
111  48.723492779  11.551344394 
111  48.723801489  11.551157805 
111  48.723772163  11.551045871 
111  48.723851424  11.550995910 
111  48.723832919  11.550926521 
112  48.723725782  11.550524774  48.723721363  11.550508209 
111  48.723732797  11.550490634 
111  48.723683323  11.550519737 
112  48.723703998  11.550541004  48.723707855  11.550555498 
112  48.723803301  11.550914343  48.723805926  11.550924512 
112  48.723795052  11.550949893  48.723788052  11.550954462 
111  48.723723330  11.550994940 
111  48.723710203  11.550943784 
111  48.723561828  11.551036975 
111  48.723574955  11.551088132 
111  48.723325392  11.551244877 
111  48.722961917  11.551473181 
114  48.722611805  11.551693091  48.722575334  11.551715836 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.723671766  11.551820810 
111  48.723624078  11.551854242 
111  48.723653984  11.551976569 
111  48.723695724  11.551943003 
112  48.723732859  11.552020901  48.723745797  11.552032808 
112  48.723801832  11.552024621  48.723833701  11.552003433 
112  48.724070760  11.551846642  48.724083619  11.551837319 
112  48.724086414  11.551795791  48.724081382  11.551771213 
112  48.724055105  11.551669510  48.724047278  11.551650017 
111  48.724016006  11.551671107 
113  48.723694258  11.551895286
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  48.722732680  11.551725679 
111  48.722646934  11.551776505 
111  48.722798380  11.552342430 
112  48.722832462  11.552296504  48.722856275  11.552270823 
113  48.722870522  11.552256739
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_5D.pol 
111  48.716466019  11.553458297 
111  48.716423487  11.553756033 
111  48.716469932  11.553728923 
113  48.716506641  11.553471951
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_5D.pol 
111  48.718558000  11.542467000 
111  48.718468415  11.542440043 
111  48.718428415  11.542735043 
113  48.718518000  11.542762000
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4L.pol 
111  48.709304232  11.509887189 
111  48.709282376  11.509460497 
112  48.709197586  11.509459986  48.709147499  11.509519497 
112  48.708995781  11.509699100  48.708948060  11.509754790 
114  48.709021201  11.509885480  48.709072936  11.509885709 
111  48.709023709  11.509861903 
112  48.709010585  11.509720326  48.709069875  11.509650418 
111  48.709221285  11.509467881 
111  48.709260050  11.509465899 
113  48.709279040  11.509859977
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.724858309  11.552209390 
111  48.724347621  11.552472799 
111  48.723981530  11.552764547 
111  48.723672149  11.553036189 
111  48.721476987  11.554795842 
111  48.721514051  11.554924251 
111  48.723742339  11.553076479 
111  48.724041168  11.552826629 
111  48.724369698  11.552586555 
113  48.724875111  11.552317449
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.705277607  11.505488528 
111  48.704735764  11.506263617 
111  48.704078873  11.507102464 
111  48.703392930  11.507955969 
111  48.702911964  11.508589370 
111  48.702725326  11.508830490 
111  48.702802184  11.508960917 
111  48.702982366  11.508719797 
111  48.703455263  11.508108403 
111  48.704091172  11.507296466 
111  48.704807781  11.506384248 
113  48.705343168  11.505604268
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_1D.pol 
111  48.714846844  11.560433398 
111  48.714878609  11.560548008 
111  48.716159622  11.559767230 
113  48.716129135  11.559652092
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_5D.pol 
111  48.712115318  11.526037152 
111  48.712098413  11.525973653 
111  48.712056515  11.525996083 
111  48.712010053  11.525819644 
111  48.711964428  11.525844971 
111  48.711930973  11.525710125 
111  48.710003740  11.526820625 
113  48.710111302  11.527239944
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_2D.pol 
111  48.711244452  11.526553212 
111  48.711395778  11.527136261 
111  48.711516430  11.527060880 
111  48.711579930  11.527315120 
111  48.712330772  11.526866615 
113  48.712115105  11.526036349
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_2D.pol 
111  48.709089109  11.526766211 
112  48.709089109  11.526766211  48.709050127  11.526781661 
111  48.708935487  11.526823099 
111  48.708266295  11.524295359 
111  48.707988993  11.524452969 
111  48.708395311  11.525976529 
111  48.708422003  11.525961022 
111  48.708762557  11.527247785 
111  48.708561819  11.527372782 
112  48.708768994  11.527367968  48.708899028  11.527288796 
112  48.708908492  11.527281789  48.709053812  11.527192857 
111  48.708908492  11.527281789 
114  48.708908492  11.527281789  48.709055450  11.527201548 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_4D.pol 
111  48.706655193  11.518697545 
112  48.706846175  11.518586960  48.706884090  11.518564902 
111  48.706937973  11.518651062 
112  48.706898177  11.518502107  48.706841788  11.518297412 
112  48.706556236  11.518280206  48.706394603  11.518372921 
111  48.706472221  11.518329528 
114  48.706572178  11.518379301  48.706588190  11.518440243 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6D.pol 
111  48.709166045  11.529958751 
111  48.709213211  11.530143194 
111  48.709611596  11.529912514 
111  48.709663476  11.530109386 
111  48.709792189  11.530030758 
111  48.709740557  11.529833585 
111  48.709873608  11.529753749 
111  48.709823320  11.529566253 
111  48.709691685  11.529645650 
111  48.709639728  11.529448917 
111  48.709510453  11.529525181 
113  48.709561502  11.529722518
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6D.pol 
111  48.709629293  11.528842731 
111  48.709544853  11.528892263 
111  48.709500174  11.528721221 
111  48.709417653  11.528769934 
111  48.709463351  11.528945338 
111  48.709329254  11.529025860 
111  48.709375433  11.529206989 
111  48.709507371  11.529124831 
111  48.709550850  11.529288420 
111  48.709635350  11.529236799 
111  48.709591811  11.529070847 
113  48.709676911  11.529019862
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/concrete_6D.pol 
111  48.709026376  11.528552889 
111  48.709177166  11.528460913 
111  48.709230647  11.528660343 
111  48.709406261  11.528552096 
111  48.709353607  11.528352465 
111  48.709484690  11.528269931 
111  48.709436991  11.528088485 
111  48.709305898  11.528169026 
111  48.709252611  11.527970128 
111  48.709079580  11.528081233 
111  48.709132848  11.528280097 
113  48.708978621  11.528373157
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5D.pol 
111  48.709309305  11.509885998 
112  48.709021525  11.509883958  48.708969140  11.509884631 
112  48.708996176  11.509700752  48.709041014  11.509650295 
112  48.709198225  11.509461291  48.709248525  11.509400752 
111  48.709283195  11.509464991 
111  48.709249727  11.509108118 
112  48.709163457  11.509394658  48.709066766  11.509507809 
111  48.708590424  11.510069455 
111  48.708321901  11.510409190 
112  48.708111576  11.510700233  48.707965025  11.510906450 
112  48.707751491  11.511295099  48.707578741  11.511627920 
112  48.707235010  11.512359901  48.707130514  11.512676599 
111  48.707235010  11.512359901 
112  48.707235010  11.512359901  48.707148557  11.512720096 
112  48.707114008  11.513110358  48.707097553  11.513284525 
111  48.707114008  11.513110358 
112  48.707114008  11.513110358  48.707097992  11.513388817 
112  48.707217115  11.514170705  48.707277706  11.514508515 
111  48.707340357  11.514740057 
112  48.707631759  11.516133082  48.707714783  11.516513914 
111  48.707631759  11.516133082 
112  48.707631759  11.516133082  48.707673271  11.516323498 
112  48.707912506  11.517268041  48.707987824  11.517554346 
111  48.707912506  11.517268041 
112  48.707912506  11.517268041  48.707916463  11.517336715 
112  48.707917259  11.517411971  48.707919093  11.517466340 
111  48.707917259  11.517411971 
112  48.707917259  11.517411971  48.707981680  11.517691038 
111  48.708264437  11.518712992 
112  48.708296848  11.518691835  48.708306991  11.518684924 
111  48.708296848  11.518691835 
112  48.708296848  11.518691835  48.708395944  11.519038791 
112  48.708634386  11.519845429  48.708715254  11.520085193 
112  48.709128116  11.521134122  48.709345247  11.521670898 
111  48.709128116  11.521134122 
112  48.709128116  11.521134122  48.709561164  11.522242734 
111  48.709792538  11.522736198 
111  48.709888487  11.522899480 
111  48.709879050  11.522931660 
112  48.709985510  11.523098222  48.710016059  11.523138607 
112  48.710041743  11.523256857  48.710041743  11.523307092 
111  48.710041743  11.523256857 
112  48.710041743  11.523256857  48.710046943  11.523390817 
112  48.710117576  11.523607093  48.710138526  11.523655936 
112  48.710306281  11.523859079  48.710358386  11.523885943 
111  48.710306281  11.523859079 
112  48.710306281  11.523859079  48.710353015  11.523894083 
112  48.710342012  11.523991103  48.710338010  11.524000707 
111  48.710278684  11.524033579 
111  48.710311991  11.524128760 
112  48.710480429  11.523981662  48.710508113  11.523950197 
112  48.710569297  11.523847971  48.710576574  11.523844295 
112  48.710614135  11.523857390  48.710630950  11.523867834 
111  48.710682946  11.523928704 
112  48.710557277  11.523717681  48.710516685  11.523630115 
111  48.710455217  11.523498497 
112  48.710465484  11.523741701  48.710436477  11.523833689 
111  48.710465484  11.523741701 
112  48.710465484  11.523741701  48.710454203  11.523737631 
112  48.710339649  11.523676690  48.710277015  11.523622962 
111  48.710222987  11.523489063 
112  48.710189897  11.523530254  48.710173943  11.523548163 
111  48.710189897  11.523530254 
112  48.710189897  11.523530254  48.710173352  11.523508763 
112  48.710141444  11.523370863  48.710133172  11.523310867 
111  48.710141444  11.523370863 
112  48.710141444  11.523370863  48.710159171  11.523361908 
111  48.710181625  11.523352954 
112  48.710165671  11.523230276  48.710160299  11.523156197 
112  48.710198170  11.523039544  48.710226640  11.522985817 
111  48.710269667  11.522933880 
112  48.710242486  11.522882839  48.710223742  11.522847331 
111  48.710242486  11.522882839 
112  48.710242486  11.522882839  48.710297341  11.522852344 
111  48.710327107  11.522949998 
112  48.710317723  11.522724476  48.710316167  11.522645953 
111  48.710327825  11.522495435 
112  48.710223829  11.522795861  48.710155608  11.522901688 
111  48.710144383  11.522920050 
112  48.709975172  11.522834317  48.709843617  11.522646872 
112  48.709186100  11.521070412  48.708746787  11.519976869 
111  48.709186100  11.521070412 
112  48.709186100  11.521070412  48.708963059  11.520533178 
112  48.708691348  11.519797387  48.708601690  11.519536310 
112  48.708263390  11.518296394  48.708162817  11.517928641 
111  48.708263390  11.518296394 
112  48.708263390  11.518296394  48.708062245  11.517560889 
112  48.707693030  11.516099584  48.707576348  11.515565740 
111  48.707415727  11.514706762 
111  48.707461244  11.514687410 
111  48.707319745  11.513986018 
111  48.707277455  11.514006950 
111  48.707265403  11.513942839 
111  48.707308930  11.513919550 
112  48.707238261  11.513285488  48.707236801  11.513025465 
111  48.707271411  11.512742305 
111  48.707239311  11.512604110 
112  48.707361423  11.512218117  48.707432480  11.512059768 
111  48.707918313  11.511151491 
112  48.708076830  11.510891448  48.708168346  11.510770101 
111  48.708285084  11.510623149 
111  48.708352965  11.510593240 
111  48.708594774  11.510306119 
111  48.708606288  11.510247426 
112  48.708864184  11.509953294  48.708879345  11.509955132 
112  48.709194452  11.509975357  48.709308723  11.509982017 
113  48.709317624  11.510169474
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.708902541  11.509956592 
112  48.708915325  11.510000692  48.708916305  11.510010719 
111  48.708942546  11.510222772 
112  48.708960677  11.510170526  48.708954233  11.510124208 
114  48.708932759  11.509970449  48.708930784  11.509953911 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.707999509  11.514391367 
112  48.707999509  11.514391367  48.707990037  11.514380601 
112  48.707990826  11.514410506  48.708001088  11.514421272 
112  48.708086735  11.514525940  48.708097392  11.514539098 
114  48.708094234  11.514505604  48.708082393  11.514490651 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.707992680  11.514287081 
112  48.707992680  11.514287081  48.707983208  11.514276315 
112  48.707983997  11.514306220  48.707994259  11.514316986 
112  48.708079906  11.514421654  48.708090563  11.514434812 
114  48.708087405  11.514401319  48.708075564  11.514386366 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.707985851  11.514174835 
112  48.707985851  11.514174835  48.707976379  11.514164069 
112  48.707977167  11.514193974  48.707987429  11.514204740 
112  48.708073076  11.514309408  48.708083733  11.514322566 
114  48.708080575  11.514289072  48.708068734  11.514274119 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_5L.pol 
111  48.707982298  11.514067774 
112  48.707982298  11.514067774  48.707972826  11.514057008 
112  48.707973615  11.514086914  48.707983877  11.514097680 
112  48.708069524  11.514202347  48.708080181  11.514215505 
114  48.708077023  11.514182012  48.708065182  11.514167059 
110  1 0.00 0.0000 Polygon from DSF lib/airport/pavement/asphalt_4D.pol 
111  48.710516509  11.516810603 
111  48.710516861  11.516173417 
112  48.710478583  11.516173683  48.710459441  11.516175585 
111  48.710478583  11.516173683 
112  48.710478583  11.516173683  48.710477642  11.516114715 
112  48.710377354  11.516010660  48.710344091  11.516010184 
111  48.710377354  11.516010660 
112  48.710377354  11.516010660  48.710377040  11.515982602 
111  48.710377562  11.515943120 
111  48.709220532  11.515953796 
112  48.709220611  11.516018197  48.709220326  11.516050620 
111  48.709220611  11.516018197 
112  48.709220611  11.516018197  48.709177405  11.516018629 
112  48.709126726  11.516165270  48.709126207  11.516249767 
112  48.709127366  11.516397050  48.709126676  11.516455113 
112  48.709050450  11.516383917  48.709051831  11.516334223 
112  48.709062271  11.516108637  48.709068139  11.516001926 
112  48.709216330  11.515885344  48.709272841  11.515886040 
112  48.709861344  11.515868334  48.709893922  11.515867701 
112  48.709965577  11.515814115  48.709984405  11.515789905 
112  48.710145976  11.515658466  48.710189804  11.515665147 
111  48.710145976  11.515658466 
112  48.710145976  11.515658466  48.710121598  11.515619950 
112  48.709986129  11.515420829  48.709944375  11.515359126 
111  48.709986129  11.515420829 
112  48.709986129  11.515420829  48.710000133  11.515515939 
112  48.709958069  11.515672245  48.709934252  11.515726125 
112  48.709907117  11.515747016  48.709895036  11.515756432 
112  48.709832241  11.515783741  48.709805317  11.515784264 
112  48.709208457  11.515800094  48.709156059  11.515802396 
112  48.709050076  11.515678698  48.709049658  11.515600213 
111  48.709050688  11.515549888 
111  48.709095194  11.515548961 
111  48.709097527  11.515235571 
112  48.709133162  11.515234139  48.709146996  11.515235025 
111  48.709146171  11.515270321 
111  48.709119310  11.515270622 
111  48.709116357  11.515677178 
111  48.709153422  11.515677178 
111  48.709152810  11.515747607 
111  48.709846833  11.515736847 
111  48.709847592  11.515679306 
112  48.709919347  11.515552572  48.709958399  11.515459275 
111  48.709924907  11.515381017 
111  48.709776518  11.515085878 
111  48.709627598  11.514644932 
111  48.709546408  11.514332072 
111  48.709509454  11.514274406 
111  48.709509271  11.514212505 
111  48.709172657  11.514199887 
111  48.709173397  11.514254830 
111  48.709143800  11.514255951 
111  48.709140598  11.514471320 
111  48.709117724  11.514470984 
111  48.709139680  11.513405530 
111  48.709098171  11.513401829 
111  48.709093287  11.513304389 
111  48.709073753  11.513246418 
112  48.709220403  11.513198715  48.709278793  11.513182638 
112  48.709330576  11.513247730  48.709351042  11.513281276 
111  48.709387691  11.513421396 
111  48.709370351  11.513033272 
111  48.709339414  11.512695812 
112  48.709294204  11.512888910  48.709248461  11.512963608 
112  48.709182306  11.512997729  48.709155016  11.513006919 
111  48.709038919  11.513038119 
111  48.709030183  11.512961779 
111  48.709078141  11.512945972 
111  48.709058385  11.512765647 
111  48.709106307  11.512752419 
111  48.709111124  11.512791655 
111  48.709075829  11.512801941 
111  48.709091924  11.512944579 
111  48.709222863  11.512902109 
111  48.709192763  11.512607997 
111  48.709144491  11.512222965 
111  48.709109801  11.512231558 
111  48.709108153  11.512220942 
111  48.709190521  11.512198056 
111  48.709191910  11.512208361 
111  48.709157758  11.512218303 
111  48.709202399  11.512595466 
111  48.709294125  11.512566738 
111  48.709234528  11.512044180 
111  48.709273519  11.512032830 
111  48.709174984  11.511216606 
111  48.709292287  11.511178407 
111  48.709265370  11.510976968 
111  48.709152750  11.511014039 
111  48.709160840  11.511073322 
111  48.709138970  11.511081035 
111  48.709122806  11.510949326 
111  48.709142823  11.510942404 
111  48.709149897  11.510995304 
111  48.709286610  11.510951858 
111  48.709258358  11.510755122 
111  48.709125844  11.510796915 
111  48.709133916  11.510853999 
111  48.709111718  11.510860116 
111  48.709092211  11.510712309 
111  48.709114409  11.510704154 
111  48.709121808  11.510754102 
111  48.709296027  11.510703134 
111  48.709270786  11.510508606 
111  48.709094004  11.510563365 
111  48.709101367  11.510622122 
111  48.709080524  11.510628862 
111  48.709063008  11.510498069 
111  48.709083862  11.510492386 
111  48.709091225  11.510546516 
111  48.709270230  11.510490915 
111  48.709261891  11.510434875 
111  48.709284000  11.510426987 
111  48.709265430  11.510292515 
111  48.709064150  11.510352734 
111  48.709072016  11.510410540 
111  48.709054198  11.510415652 
111  48.709036696  11.510288472 
111  48.709054114  11.510283487 
111  48.709062168  11.510338483 
111  48.709264473  11.510275147 
111  48.709239169  11.510086804 
111  48.709039038  11.510139535 
111  48.709042096  11.510185869 
112  48.709014940  11.510115941  48.709007723  11.510072191 
112  48.709011850  11.510029100  48.709016243  11.509989630 
111  48.709055906  11.509985097 
111  48.709055906  11.510027991 
111  48.709192943  11.510025898 
111  48.709192598  11.509973066 
111  48.709056942  11.509965220 
111  48.708901422  11.509955107 
111  48.708902726  11.509957047 
112  48.708931600  11.509970696  48.708933709  11.509982286 
112  48.708957947  11.510155424  48.708966743  11.510215800 
111  48.708942849  11.510222556 
111  48.708925918  11.510227528 
111  48.708918842  11.510176215 
111  48.708720780  11.510240415 
111  48.708730581  11.510329376 
111  48.708640673  11.510355323 
111  48.708641896  11.510400731 
111  48.708311152  11.510759665 
111  48.708253989  11.510660141 
111  48.708218938  11.510705122 
111  48.708273752  11.510808550 
112  48.708027801  11.511153056  48.707993343  11.511219893 
111  48.708027801  11.511153056 
112  48.708027801  11.511153056  48.708026423  11.511203184 
111  48.708031298  11.511234909 
111  48.707988382  11.511243843 
111  48.708011320  11.511443465 
111  48.708049796  11.511433374 
111  48.708054235  11.511479346 
111  48.707861367  11.511522593 
111  48.707820553  11.511465362 
111  48.707919108  11.511272639 
111  48.707880151  11.511221966 
112  48.707668814  11.511619575  48.707676000  11.511608282 
111  48.707698671  11.511603231 
