I
1130 Generated by WorldEditor 2.0.0r4

17   1624 0 0 XED7D [H] Klinikum Augsburg
102 H1  48.38450384  010.83776564  29.00 18.00 18.00 15 0 0 0.00 0
102 H2  48.38159216  010.83894375 354.75 30.00 30.00 15 0 0 0.00 0
110 1 0.25 60.0000 lib/airport/pavement/asphalt_4L.pol
111  48.38430254  010.83856294
111  48.38423318  010.83858054
111  48.38424267  010.83875205
111  48.38360142  010.83885319
111  48.38361114  010.83893833
111  48.38376840  010.83893034
111  48.38382141  010.83912324
111  48.38381258  010.83939728
111  48.38400341  010.83937002
111  48.38404229  010.84026856
111  48.38392632  010.84028687
111  48.38393186  010.84038526
111  48.38361115  010.84043382
111  48.38362747  010.84067008
111  48.38357335  010.84068158
111  48.38349096  010.84059114
111  48.38347681  010.84062628
111  48.38357915  010.84074157
111  48.38358881  010.84088033
111  48.38364150  010.84087323
111  48.38384719  010.84082883
111  48.38382691  010.84045609
111  48.38393613  010.84044076
111  48.38398564  010.84119362
111  48.38412107  010.84117926
111  48.38411644  010.84110421
111  48.38401803  010.84111616
111  48.38396962  010.84033351
111  48.38403754  010.84032317
111  48.38408826  010.84033022
111  48.38405687  010.83961326
111  48.38410390  010.83951215
113  48.38435152  010.83939196
110 1 0.25 60.0000 lib/airport/pavement/asphalt_4L.pol
111  48.38393918  010.83937519
111  48.38389620  010.83945939
111  48.38346684  010.84054819
111  48.38315545  010.84056483
111  48.38315987  010.84060616
111  48.38327450  010.84060083
111  48.38336644  010.84210333
111  48.38334684  010.84214649
111  48.38326349  010.84215357
111  48.38324698  010.84223990
111  48.38330150  010.84224632
111  48.38339391  010.84358554
111  48.38334300  010.84361322
111  48.38337638  010.84368857
111  48.38343756  010.84366209
111  48.38334298  010.84226396
111  48.38340747  010.84212123
111  48.38332495  010.84076093
111  48.38343522  010.84074363
111  48.38393348  010.83948180
113  48.38399496  010.83936924
110 1 0.25 160.0000 lib/airport/pavement/asphalt_2L.pol
111  48.38391597  010.83811515
111  48.38415734  010.83802236
111  48.38411005  010.83719053
111  48.38402886  010.83720627
111  48.38405820  010.83759519
112  48.38397261  010.83758526  48.38394313  010.83755472
111  48.38393894  010.83749820
112  48.38398882  010.83743222  48.38400250  010.83737422
112  48.38396381  010.83731095  48.38394365  010.83729306
112  48.38388643  010.83731708  48.38385763  010.83734364
111  48.38386017  010.83741536
112  48.38384136  010.83757406  48.38379605  010.83758650
112  48.38372984  010.83759634  48.38366363  010.83760617
112  48.38366343  010.83745787  48.38368303  010.83739097
112  48.38376245  010.83724137  48.38381753  010.83717939
112  48.38402226  010.83709822  48.38409500  010.83708870
111  48.38433226  010.83706069
111  48.38433737  010.83716249
111  48.38455246  010.83713647
111  48.38454642  010.83701347
111  48.38491361  010.83697004
111  48.38491016  010.83692279
111  48.38454370  010.83696629
111  48.38453530  010.83675658
111  48.38506550  010.83668002
111  48.38506385  010.83664245
111  48.38456553  010.83671168
111  48.38456164  010.83661460
112  48.38451587  010.83657328  48.38452589  010.83654639
112  48.38465841  010.83622525  48.38470633  010.83613362
112  48.38487067  010.83602073  48.38493583  010.83601424
111  48.38517618  010.83599226
111  48.38517910  010.83595351
112  48.38486213  010.83599286  48.38478636  010.83600448
112  48.38463879  010.83621346  48.38457775  010.83633494
112  48.38447365  010.83661445  48.38444067  010.83671796
112  48.38431282  010.83684750  48.38423635  010.83686229
112  48.38401307  010.83685135  48.38386364  010.83682388
112  48.38364300  010.83671741  48.38354128  010.83672903
112  48.38336910  010.83693277  48.38329333  010.83708488
111  48.38315481  010.83735731
111  48.38301450  010.83761850
112  48.38276450  010.83791714  48.38271759  010.83800127
112  48.38264524  010.83816393  48.38258779  010.83828138
112  48.38237929  010.83836751  48.38228442  010.83836678
112  48.38221794  010.83836366  48.38216475  010.83836078
112  48.38201067  010.83843088  48.38193363  010.83848888
112  48.38189506  010.83864588  48.38188714  010.83870876
112  48.38184285  010.83874149  48.38181109  010.83874540
112  48.38175319  010.83875233  48.38173039  010.83875469
111  48.38171421  010.83872897
111  48.38171994  010.83882076
112  48.38174546  010.83879394  48.38176312  010.83879259
112  48.38184441  010.83878277  48.38187144  010.83877940
112  48.38190515  010.83886610  48.38190731  010.83891434
112  48.38192341  010.83919189  48.38192737  010.83925802
112  48.38197839  010.83943423  48.38200043  010.83947319
112  48.38200896  010.83958422  48.38200177  010.83965204
111  48.38199420  010.83974691
112  48.38220781  010.83970319  48.38223129  010.83968732
112  48.38228040  010.83968818  48.38231203  010.83969901
111  48.38260296  010.83985804
112  48.38284318  010.83941326  48.38287217  010.83935929
112  48.38299080  010.83910608  48.38301763  010.83902625
112  48.38304032  010.83898053  48.38305865  010.83898053
111  48.38361464  010.83893809
111  48.38360943  010.83885117
112  48.38316865  010.83890996  48.38312807  010.83890822
112  48.38313632  010.83876737  48.38314386  010.83862507
111  48.38311893  010.83829160
111  48.38314328  010.83829073
111  48.38311081  010.83778440
111  48.38308432  010.83778736
112  48.38308466  010.83762951  48.38309415  010.83754131
112  48.38322363  010.83728758  48.38325459  010.83722145
112  48.38328012  010.83727907  48.38328840  010.83734575
112  48.38335481  010.83761482  48.38338959  010.83773617
112  48.38351547  010.83803019  48.38353692  010.83815153
112  48.38361560  010.83829426  48.38367544  010.83830348
112  48.38368525  010.83845939  48.38369173  010.83858244
112  48.38380476  010.83866885  48.38385228  010.83866452
113  48.38392849  010.83864389
112  48.38296223  010.83909092  48.38294554  010.83912936
112  48.38282097  010.83938374  48.38280690  010.83941134
112  48.38265824  010.83968523  48.38264358  010.83971206
112  48.38262132  010.83968842  48.38261446  010.83967249
111  48.38261614  010.83964831
111  48.38253398  010.83953544
111  48.38243858  010.83971876
112  48.38227407  010.83964117  48.38223835  010.83962485
112  48.38211238  010.83955341  48.38204845  010.83949926
112  48.38200045  010.83941643  48.38197693  010.83936134
112  48.38194990  010.83919103  48.38194598  010.83913266
111  48.38194493  010.83908633
111  48.38196403  010.83904428
111  48.38194616  010.83873336
111  48.38192358  010.83870084
112  48.38193416  010.83860191  48.38194674  010.83855357
112  48.38200054  010.83848308  48.38202718  010.83845869
111  48.38200054  010.83848308
112  48.38200054  010.83848308  48.38205382  010.83843430
112  48.38222082  010.83840150  48.38229162  010.83840630
112  48.38237989  010.83840767  48.38244606  010.83841061
112  48.38256928  010.83832564  48.38262512  010.83827287
112  48.38268117  010.83817563  48.38269111  010.83815661
112  48.38272979  010.83818670  48.38273784  010.83823760
111  48.38278564  010.83841817
112  48.38284264  010.83858852  48.38286391  010.83865012
112  48.38289557  010.83886412  48.38291488  010.83889418
114  48.38298566  010.83897158  48.38299090  010.83900213
112  48.38212306  010.83968935  48.38208384  010.83969586
111  48.38202683  010.83969650
111  48.38205020  010.83954625
112  48.38211514  010.83959932  48.38215057  010.83962538
113  48.38221176  010.83965596
112  48.38278599  010.83794627  48.38283565  010.83786822
111  48.38293219  010.83775679
112  48.38294436  010.83777471  48.38294935  010.83778750
111  48.38294950  010.83780851
111  48.38300238  010.83859233
111  48.38303445  010.83858986
112  48.38298170  010.83780519  48.38297967  010.83776680
112  48.38295876  010.83772879  48.38297021  010.83771822
112  48.38301723  010.83766972  48.38303478  010.83765081
112  48.38305685  010.83772794  48.38306036  010.83778051
111  48.38305108  010.83779238
111  48.38302981  010.83779780
111  48.38308377  010.83858302
111  48.38309727  010.83858040
112  48.38311470  010.83867812  48.38311644  010.83873453
112  48.38310468  010.83886898  48.38309814  010.83892080
112  48.38304500  010.83893129  48.38300928  010.83892998
112  48.38291693  010.83884209  48.38289864  010.83880930
112  48.38286629  010.83858103  48.38285104  010.83853774
112  48.38280646  010.83840416  48.38279034  010.83835366
114  48.38275269  010.83817877  48.38273963  010.83811384
112  48.38402300  010.83706011  48.38391343  010.83707583
112  48.38375813  010.83719858  48.38372044  010.83724135
112  48.38363426  010.83746032  48.38362093  010.83758516
112  48.38358744  010.83770522  48.38359266  010.83778990
112  48.38360769  010.83800550  48.38361165  010.83810795
112  48.38365849  010.83819333  48.38365777  010.83823778
112  48.38360068  010.83824212  48.38357332  010.83821664
112  48.38353473  010.83802452  48.38350838  010.83785786
112  48.38337894  010.83760342  48.38334827  010.83749520
112  48.38330493  010.83727351  48.38329859  010.83723296
112  48.38330453  010.83713100  48.38331879  010.83710178
112  48.38339244  010.83695451  48.38341175  010.83691903
112  48.38351679  010.83680366  48.38358636  010.83676080
112  48.38373573  010.83677570  48.38380899  010.83681538
112  48.38399111  010.83689160  48.38406016  010.83690430
112  48.38417809  010.83690929  48.38421215  010.83691049
112  48.38423386  010.83695549  48.38424121  010.83698291
114  48.38420540  010.83703276  48.38418085  010.83703664
110 1 0.25 60.0000 lib/airport/pavement/asphalt_4D.pol
111  48.38259918  010.83823938
112  48.38256846  010.83822986  48.38255792  010.83822066
112  48.38218941  010.83788835  48.38214981  010.83785287
112  48.38206741  010.83782104  48.38203436  010.83781611
112  48.38190098  010.83779663  48.38185590  010.83778995
112  48.38191206  010.83787335  48.38195123  010.83784860
112  48.38197047  010.83785081  48.38198414  010.83785276
112  48.38206550  010.83786329  48.38208939  010.83786674
112  48.38214233  010.83789636  48.38216229  010.83791410
112  48.38255188  010.83825758  48.38256226  010.83826678
113  48.38256401  010.83827882
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38594809  010.83553784
111  48.38498321  010.83568658
111  48.38499783  010.83590460
111  48.38516682  010.83587816
111  48.38517437  010.83597851
111  48.38541239  010.83594345
111  48.38540407  010.83584104
111  48.38545931  010.83583240
111  48.38545076  010.83594089
111  48.38554091  010.83592806
111  48.38552120  010.83582272
111  48.38569258  010.83579590
111  48.38569922  010.83589350
111  48.38585823  010.83586855
111  48.38585104  010.83577111
113  48.38596389  010.83575345
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38602267  010.83575465
111  48.38615556  010.83572862
111  48.38611682  010.83525124
112  48.38607367  010.83525852  48.38606291  010.83526004
112  48.38606446  010.83522896  48.38607085  010.83521731
111  48.38609596  010.83517242
111  48.38606007  010.83512874
112  48.38602766  010.83519123  48.38601488  010.83521454
114  48.38598393  010.83527367  48.38598696  010.83530710
110 1 0.25 60.0000 lib/airport/pavement/asphalt_3D.pol
111  48.38562779  010.84117594
111  48.38560718  010.84089583
111  48.38540612  010.84092183
111  48.38541781  010.84107279
111  48.38532926  010.84160783
111  48.38530203  010.84161119
111  48.38530537  010.84171417
111  48.38537994  010.84170512
113  48.38546794  010.84120026
111  48.38555230  010.84109427
111  48.38548878  010.84110466
111  48.38548233  010.84101110
113  48.38554585  010.84100139
110 1 0.25 0.0000 lib/airport/pavement/asphalt_4L.pol
111  48.38565242  010.84099545
111  48.38561438  010.84100065
111  48.38561909  010.84106503
113  48.38565776  010.84105841
110 1 0.25 0.0000 lib/airport/pavement/asphalt_4L.pol
111  48.38564093  010.84085483
111  48.38559283  010.84086382
111  48.38559534  010.84089867
111  48.38560647  010.84089698
111  48.38560883  010.84092739
113  48.38564627  010.84092157
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38423526  010.84106296
111  48.38425058  010.84132771
111  48.38447359  010.84128712
111  48.38454894  010.84119211
113  48.38453791  010.84101683
110 1 0.25 60.0000 lib/airport/pavement/asphalt_4D.pol
111  48.38541273  010.83868473
112  48.38529767  010.83880524  48.38522273  010.83881498
112  48.38515539  010.83882170  48.38506407  010.83883152
112  48.38503456  010.83914574  48.38504842  010.83932869
111  48.38508645  010.83979923
111  48.38496380  010.83982968
111  48.38500558  010.84029240
111  48.38514239  010.84026601
111  48.38519024  010.84054811
111  48.38520103  010.84101602
111  48.38525562  010.84100434
111  48.38524550  010.84065568
111  48.38514171  010.83996058
111  48.38526639  010.83993419
111  48.38523202  010.83953134
111  48.38511408  010.83954810
112  48.38508106  010.83913661  48.38506927  010.83898883
112  48.38515725  010.83886977  48.38520974  010.83886404
112  48.38529925  010.83885405  48.38537648  010.83884546
113  48.38542037  010.83895081
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38134174  010.84082906
111  48.38123737  010.84108666
111  48.38126616  010.84113068
113  48.38138131  010.84084912
110 1 0.25 60.0000 lib/airport/pavement/asphalt_2D.pol
111  48.38167866  010.84094943
111  48.38169337  010.84134881
111  48.38173375  010.84135979
113  48.38171867  010.84093149
110 1 0.00 354.7500 Taxiway 1
111  48.38173894  010.83912755
111  48.38171424  010.83872275
111  48.38144539  010.83875995
113  48.38147009  010.83916475
130 Heliport Boundary
111  48.38194630  010.83820162
111  48.38100045  010.83835306
111  48.38108321  010.83975961
113  48.38203565  010.83959700
120 Linear Feature 50
111  48.38159156  010.83893356 51
115  48.38159278  010.83895383
120 Linear Feature 49
111  48.38160622  010.83895196 51
111  48.38159278  010.83895383 51
115  48.38157934  010.83895570
120 Linear Feature 48
111  48.38160502  010.83893166 51
111  48.38159156  010.83893356 51
115  48.38157810  010.83893547
1300  48.38452983  010.83812902 265.49 misc helos Christoph 40
1301 B none 
1300  48.38450524  010.83776803 209.86 misc helos Rooftop helipad north
1301 B none 
1300  48.38159371  010.83894469 354.35 misc helos Streetlevel helipad south
1301 B none 
19  48.38190120  010.83915414 1 Windsock helipad
99
