I
1050 Generated by WorldEditor 2.2.0r2

1      5 1 0 EDXP Harle
1302 city Harlesiel
111  53.70598440  007.81601406
111  53.70591555  007.81603305
111  53.70589813  007.81597956
111  53.70592338  007.81621554
111  53.70592819  007.81617190
113  53.70599774  007.81615054
130 Airport Boundary 5
111  53.70505637  007.81456769
111  53.70492091  007.81462674
111  53.70475481  007.81537873
111  53.70480389  007.81548928
111  53.70481899  007.81552329
111  53.70487874  007.81612058
111  53.70497482  007.81728576
111  53.70597939  007.81695084
111  53.70646347  007.82541302
111  53.70647652  007.82551955
111  53.70651566  007.82554160
111  53.70744855  007.82524036
111  53.70688780  007.81587759
111  53.70687910  007.81578208
111  53.70684648  007.81572697
111  53.70627892  007.81498123
111  53.70623326  007.81496286
111  53.70493535  007.81536190
111  53.70486105  007.81532210
111  53.70486287  007.81524863
111  53.70486287  007.81518128
111  53.70497703  007.81472209
113  53.70505314  007.81466392
120 Linear Feature 12
111  53.70561288  007.81674176 30
111  53.70576560  007.81685202 30
115  53.70592692  007.81680505
120 Linear Feature 13
111  53.70570884  007.81577394 1
111  53.70567459  007.81545649 1
112  53.70569689  007.81534899  53.70573116  007.81534348 1
111  53.70575944  007.81533613 1
112  53.70580403  007.81538758  53.70580947  007.81545190 1
111  53.70585081  007.81585617 1
112  53.70587109  007.81592066  53.70588197  007.81594179 1
111  53.70589121  007.81601070 1
111  53.70594599  007.81655122 1
116  53.70599396  007.81664501  53.70601662  007.81664182
120 Linear Feature 21
111  53.70570887  007.81577408 1
112  53.70570137  007.81586640  53.70569257  007.81588592 1
112  53.70565756  007.81596352  53.70563939  007.81601262 1
111  53.70562894  007.81605866 1
111  53.70568414  007.81656415 1
112  53.70573447  007.81666148  53.70576899  007.81668910 1
111  53.70581845  007.81668397 1
115  53.70629592  007.81657539
120 RWY Hold
111  53.70611032  007.81654917 4
115  53.70612077  007.81667147
120 Linear Feature 18
111  53.70654786  007.82031769 1
115  53.70651198  007.82032248
120 Linear Feature 18
111  53.70670051  007.82028791 1
115  53.70666463  007.82029270
20  53.70606654  007.81649790 349.3800 0 2 {@R}27-09
20  53.70650243  007.82032334 83.9400 0 2 {@Y}_1/2_{@@}_1/2_
20  53.70671252  007.82028724 264.4700 0 2 {@Y}_1/2_{@@}_1/2_
14  53.70552357  007.81556226  32.81 0 Tower Viewpoint 1
1300  53.70574112  007.81695554 258.10 misc turboprops|props|helos Apron 1
1301 C none 
1300  53.70577862  007.81526244  79.38 misc turboprops|props|helos Apron 1
1301 C none 
19  53.70614074  007.81942945 1 WS
54 12240 Harle Info
99
